id,name,net_worth,companies
Q181,Jimmy Wales,,"Bomis, Fandom, Inc., Fandom, Inc."
Q185,Larry Sanger,,Bomis
Q207,George W. Bush,,
Q306,Sebastián Piñera,,
Q360,Julian Assange,,
Q400,Jenna Jameson,,
Q607,Michael Bloomberg,"47100000000 USD (2017-11-13T00:00:00Z), 55500000000 USD (2019-01-01T00:00:00Z)",Salomon Brothers
Q1317,Osama bin Laden,,
Q1318,Aníbal Zañartu,,
Q1379,Gary Gygax,,
Q1625,Sigfrid Edström,,"ASEA, ASEA"
Q2252,Buzz Aldrin,,
Q2685,Arnold Schwarzenegger,,
Q2831,Michael Jackson,,
Q3622,Benoît Potier,,
Q4245,Jean-Michel Aulas,,
Q4488,Clancy Brown,,
Q4864,Eugene Kaspersky,,Kaspersky Lab
Q4926,Birger Kildal,,
Q4960,Jason Lee,,
Q5028,Britta Thomsen,,
Q5396,Louis Blériot,,
Q6060,50 Cent,,G-Unit Clothing Company
Q6096,Snoop Dogg,,
Q7336,Otto Heinrich Frank,,
Q7407,Andre Agassi,,
Q7524,Sue Gardner,,Canadian Broadcasting Corporation
Q7532,Judith L. Estrin,,
Q7543,Stacy Horn,,
Q7549,Sandra Lerner,,
Q7562,Ping Fu,,
Q8159,Paul Bocuse,,
Q8743,Thomas Edison,,"General Electric - New York Stock Exchange, General Electric - New York Stock Exchange, General Electric - New York Stock Exchange, General Electric - Tokyo Stock Exchange, General Electric - Tokyo Stock Exchange, General Electric - Tokyo Stock Exchange, National Academy of Sciences, Continental Edison"
Q8877,Steven Spielberg,,
Q9317,John Maynard Keynes,,
Q10479,"Catherine, Princess of Wales",,
Q10490,Ayrton Senna,,
Q10505,Damon Hill,,
Q10520,David Beckham,350000000 USD (2015-10-28T00:00:00Z),
Q10628,Giampaolo Pozzo,,
Q10664,Neville Chamberlain,,
Q10738,Dwayne Johnson,140000000 USD (2016-01-01T00:00:00Z),
Q10942,Donna Auguste,,"Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Xerox - New York Stock Exchange, Xerox - New York Stock Exchange, Xerox - New York Stock Exchange, IntelliCorp, US West"
Q11237,Nelson Rockefeller,,
Q11239,David Rockefeller,,
Q11318,Franco Arese,,
Q11459,Serena Williams,,
Q11613,Harry S. Truman,,
Q11628,Margaret Hamilton,,
Q11668,Nikki Haley,,
Q11702,John Boehner,,
Q12764,Miguel Biada y Bunyol,,
Q14342,Lee Myung-bak,,
Q15542,Jefferson Pérez,,
Q15935,Kanye West,400000000 USD (2023-05-15T00:00:00Z),"Gap Inc. - New York Stock Exchange, Gap Inc. - New York Stock Exchange, Gap Inc. - New York Stock Exchange, Gap Inc. - New York Stock Exchange"
Q16807,Leonard B. Jordan,,
Q17507,Gerard Piqué,,
Q17519,Anousheh Ansari,,
Q17959,Auguste Boissonneau,,
Q18285,Zhu Rongji,,
Q19673,Al Gore,,
Q19999,Louis Bernacchi,,
Q21805,Sandy Carter,,"IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange"
Q21863,Eleanor Coade,,
Q21901,Josephine Cochrane,,
Q22290,Olympia Snowe,,
Q22401,Henri Farman,,
Q22677,Michael S. Hart,,
Q22686,Donald Trump,"2500000000 USD (2022-03-26T00:00:00Z), 3100000000 USD (2018-01-01T00:00:00Z)","The Trump Organization, The Trump Organization"
Q23530,Dmitry Medvedev,,
Q23685,Jimmy Carter,,
Q23748,Han Moo-hyup,,
Q24039,Digby Jones,,
Q24250,Frank Guinta,,
Q24876,Bukichi Miki,,
Q25983,Ernest Cox,,
Q26122,Billy Beane,,
Q26318,Rob Kardashian,,
Q26419,Justin Welby,,Travellers Club
Q27718,Walter Block,,
Q28559,Léon Serpollet,,
Q29279,Amancio Ortega,77000000000 USD (2021-01-01T00:00:00Z),
Q30865,Eike Batista,,
Q31112,Bill Frist,,
