id,official_name,brand_types,industry_sectors,headquarters,year_established,revenue,website
Q144488,University of Warsaw,"university, campus university",,Warsaw,1816-11-19,,https://www.uw.edu.pl/
Q169913,McGhee Center for Eastern Mediterranean Studies,university,,Alanya,1989-01-01,,http://www11.georgetown.edu/oip/os/sites/mideast/McGhee
Q170027,University of London,"university, higher education institution, educational organization, open-access publisher",,London,1836-01-01,,https://www.london.ac.uk/
Q171249,National Aerospace University – Kharkiv Aviation Institute,"university, open-access publisher",,,1930-01-01,,https://khai.edu/ua/
Q7842,University of Tokyo,university,,Hongō campus,1877-04-12,,https://www.u-tokyo.ac.jp/zh/index.html
Q7842,University of Tokyo,university,,Hongō campus,1877-04-12,,https://www.u-tokyo.ac.jp/zh/index.html
Q23102,Harbin Engineering University,"university, ministry-owned university",,,1953-01-01,,http://www.hrbeu.edu.cn
Q316592,University of Wittenberg,university,,,1502-10-28,,http://www.leucorea.de/
Q310564,Al-Quds University,university,,,1977-01-01,,https://www.alquds.edu/en/
Q472167,University of Winnipeg,university,,,1967-01-01,,https://uwinnipeg.ca
Q542248,Universidad Santa María,university,,,1953-10-13,,https://www.usm.edu.ve/florencia
Q550263,University of Piraeus,"university, open-access publisher",,Piraeus,1938-01-01,,http://www.unipi.gr/
Q591426,Fort Hays State University,"university, public educational institution of the United States",,,1902-01-01,,https://www.fhsu.edu/
Q593556,University of the Aegean,university,,Mytilene,1984-01-01,,https://www.aegean.edu/
Q332342,Trinity College,"university, college of the University of Cambridge, school building, educational institution, academic department, university building",,Cambridge,1546-01-01,124151000,https://www.trin.cam.ac.uk
Q550263,University of Piraeus,"university, open-access publisher",,Piraeus,1938-01-01,,http://www.unipi.gr/
Q327361,Schiller International University,"university, private for-profit educational institution",,,1964-01-01,,https://www.schiller.edu/
Q12432,Michigan Technological University,"university, public educational institution of the United States",,Houghton,1885-01-01,,https://www.mtu.edu/
Q15144,University of Massachusetts Boston,"university, public educational institution of the United States",,,1964-01-01,,https://www.umb.edu/
Q23101,Beijing Institute of Technology,"university, ministry-owned university, vice-ministerial level university",,Beijing Institute of Technology community,1940-01-01,,http://www.bit.edu.cn/
Q658514,Academy Vivarium Novum,"college, publisher",,,,,http://vivariumnovum.net/la
Q794566,Max Stern Yezreel Valley College,college,,,1965-01-01,,http://www.yvc.ac.il/
Q2324588,Šiauliai State College,"organization, college",,,2002-01-01,,http://www.svako.lt/
Q2371986,Champlain Regional College,college,,,1971-01-01,,http://admin.crc-sher.qc.ca/
Q2982989,Kettering College,"college, church college, private not-for-profit educational institution",higher education,,1967-01-01,,http://www.kc.edu
Q4881553,Bejoy Narayan Mahavidyalaya,college,,,1950-01-01,,http://bnmahavidyalaya.org
Q4884341,Belmont College,"college, public educational institution of the United States",,,1971-01-01,,http://www.belmontcollege.edu
Q128047,Walsh School of Foreign Service,"college, school of international relations",,,1919-01-01,,http://sfs.georgetown.edu/
Q49124,Radcliffe College,college,,,1879-01-01,,http://www.radcliffe.edu/
Q530424,St. Francis College,"college, private not-for-profit educational institution",higher education,,1859-01-01,,http://www.sfc.edu
Q49124,Radcliffe College,college,,,1879-01-01,,http://www.radcliffe.edu/
Q530424,St. Francis College,"college, private not-for-profit educational institution",higher education,,1859-01-01,,http://www.sfc.edu
Q540183,Collège Boréal,college,,,1995-01-01,,https://www.collegeboreal.ca
Q2324588,Šiauliai State College,"organization, college",,,2002-01-01,,http://www.svako.lt/
Q2371986,Champlain Regional College,college,,,1971-01-01,,http://admin.crc-sher.qc.ca/
