id,name,mediums,styles,galleries_exhibits
Q504,Émile Zola,,"freethought, naturalism",
Q557,Patti Smith,,,Gábor Klaniczay's private collection
Q558,Hedi Slimane,,,
Q640,Harald Krichel,,,
Q1470,M. C. Escher,"pen, paintbrush, paper, ink, India ink, laid paper, wove paper, graphite",modern art,"Prints in the National Gallery of Art, National Gallery of Art, Rosenwald Collection, Art Institute of Chicago, Stedelijk Museum voor Actuele Kunst, drawings in the National Gallery of Art, Escher Museum, Van Abbemuseum, Israel Museum, Sculptures in the National Gallery of Art, Musea Brugge, Museum of Fine Arts Boston, National Gallery of Canada"
Q2001,Stanley Kubrick,,,
Q2071,David Lynch,,surrealism,
Q2709,Sasha Grey,,,
Q4724,Le Corbusier,"metal, panel, concrete, plaster, wood, canvas, wool, oil paint, reinforced concrete, wove paper","purism, modern architecture, brutalist architecture","Art Institute of Chicago, Museum of Fine Arts, Budapest, drawings in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/e6ca3253dc449582e45b5b90ec76348b, Metropolitan Museum of Art, Museum of Modern Art, Tate, National Gallery, National Gallery of Art, Musée des beaux-arts de Liège, Strasbourg Museum of Modern and Contemporary Art, Mobilier National Collection, Hungarian National Gallery, Museo Nacional Centro de Arte Reina Sofía, Finnish National Gallery, Kunsthaus Zürich"
Q5577,Salvador Dalí,"wash technique, gouache paint, plywood, panel, paperboard, cardboard, collage, paper, bronze, canvas, tempera, oil paint, India ink, pastel, collaging, plaster, wood, newsprint, papier-mâché, mixed media, graphite, pen, pencil, ink, gelatin silver print, watercolor paint, distemper, wove paper, gypsum, varnish","Dada, classicism, Cubism, realism, impressionism, surrealism","http://www.wikidata.org/.well-known/genid/1a674a36df7c5eeac42d9d9421764a0e, National Museum of Modern Art, Tate, Museum Boijmans Van Beuningen, M.T. Abraham Center for the Visual Arts, Museum of Montserrat, Museo Nacional Centro de Arte Reina Sofía, Cleveland Museum of Art, Salvador Dalí Museum, National Gallery of Canada, Yale University Art Gallery, National Galleries Scotland, Kunstmuseum Bern, Carnegie Museum of Art, Gala-Salvador Dalí Foundation, http://www.wikidata.org/.well-known/genid/b424b45b23658c14847e50e6ef1cca3c, http://www.wikidata.org/.well-known/genid/7d9592bb7d847045f1225386b92b53f2, http://www.wikidata.org/.well-known/genid/45770998634102f55bc0f06a7e654311, http://www.wikidata.org/.well-known/genid/5c8cbb964aec6dfbd5cd7d3ce76c1b77, http://www.wikidata.org/.well-known/genid/a2214371ac71c482a7ca8325acdb06f2, http://www.wikidata.org/.well-known/genid/d778675ebf0fae468405911207c3b25a, http://www.wikidata.org/.well-known/genid/5d8dc0dfd735853001e454b6b9bada0a, http://www.wikidata.org/.well-known/genid/b64dc79e218b9ed60ce9e6e36743dbf1, http://www.wikidata.org/.well-known/genid/f45245f894e3e5567fef77961f016c26, http://www.wikidata.org/.well-known/genid/97614495bf187d3da0a659bf068f5011, http://www.wikidata.org/.well-known/genid/8e17c3b817d8597434e8d67b6a809b4c, http://www.wikidata.org/.well-known/genid/12912fe07b3c1d3559aa92dd8357544e, http://www.wikidata.org/.well-known/genid/d31b829829e14a2dd454a220de4fb994, http://www.wikidata.org/.well-known/genid/dabde675a0efe3c5a82718136a687a87, http://www.wikidata.org/.well-known/genid/e19bb4344f30ef4f8beb592a37ac3c85, http://www.wikidata.org/.well-known/genid/12d73351afbab0ab518d9851fe2e12e7, http://www.wikidata.org/.well-known/genid/5de60b688feb734a86e794f05404e514, http://www.wikidata.org/.well-known/genid/1937224164e19777542431f8614c20b1, http://www.wikidata.org/.well-known/genid/616f1174788d502f5480add2ed7801aa, http://www.wikidata.org/.well-known/genid/6f22db090ef0e979254de784f769ab77, http://www.wikidata.org/.well-known/genid/24a72740004947cee841e6a39c399573, Museo de Arte Contemporáneo, Dalí Theatre and Museum, Museum Folkwang, Masaveu collection, Solomon R. Guggenheim Museum, Morohashi Museum of Modern Art, Prints in the National Gallery of Art, drawings in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/b8a39c0d4b96b673e5352531088c1322, http://www.wikidata.org/.well-known/genid/369e7d3afc7de6100f2024d482f1263a, http://www.wikidata.org/.well-known/genid/712d4b65f0054265dc3400fdcf730e8c, http://www.wikidata.org/.well-known/genid/373d83870c8248d091fcd018f839ace5, http://www.wikidata.org/.well-known/genid/7cc471bd989525f0ca98909358826890, http://www.wikidata.org/.well-known/genid/84a8145cde3216c55091ccde416bc43c"
Q5593,Pablo Picasso,"canvas, oil paint, gouache paint, plywood, panel, pencil, cloth, ceramic, drawing board, cardboard, paper, pastel, charcoal, India ink, printing ink, graphite, bronze, chair, lollipop, chalk, sand, vitreous enamel, wax crayon, paint, watercolor paint, sanguine, fibre cement, concrete, fountain pen, window pane","Proto-Cubism, Cezannian cubism, analytical cubism, Cubism, Art Nouveau, surrealism, synthetic cubism, modern art, abstract art, neoclassicism, Picasso's Rose Period, modernism, School of Paris, primitivism, Picasso's Blue Period, post-impressionism","Kunstmuseum Basel, Art Institute of Chicago, Musée Picasso, Musée d'art moderne de Paris, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Gothenburg Museum of Art, Jean Walter-Paul Guillaume Collection, Musée d'Art moderne de Céret, http://www.wikidata.org/.well-known/genid/774863fd4402f7a60fc3c59958528809, http://www.wikidata.org/.well-known/genid/661e297dec9f0026f8181b63a0c3b440, http://www.wikidata.org/.well-known/genid/30dd92e8dd16c3548ef92c6e021d6b87, http://www.wikidata.org/.well-known/genid/401b399484778fabd2ffbcff6992ac67, http://www.wikidata.org/.well-known/genid/771fdbe151be8e842d4610a2bc2fe593, http://www.wikidata.org/.well-known/genid/a78363286624dbda9f8c677f84bd9dd9, http://www.wikidata.org/.well-known/genid/5234740d93b9a370cb0df82de9a3272c, http://www.wikidata.org/.well-known/genid/4275da17e2fe4274e76149ae2a6021aa, http://www.wikidata.org/.well-known/genid/9f0fe9014b4242fa2eaded3e2858eeee, http://www.wikidata.org/.well-known/genid/3dbd649eafb38eda454f195735197a93, http://www.wikidata.org/.well-known/genid/1b42f61272cb7327faf91a066ce853e0, http://www.wikidata.org/.well-known/genid/99e5c361f01af8d9c41af6e7135e15e0, http://www.wikidata.org/.well-known/genid/55e6f6168bfa45643785cfcd09e1b46b, http://www.wikidata.org/.well-known/genid/cd8e25b40b82cfa9a59c43121bdc8360, http://www.wikidata.org/.well-known/genid/ccd1632485910ce73b09b73e2ce470ea, http://www.wikidata.org/.well-known/genid/f62442a3feeae857c42b86847dc40609, http://www.wikidata.org/.well-known/genid/50ad6d9fb0cd9708d3f820fb9eed2b5b, http://www.wikidata.org/.well-known/genid/2769e44f6a138e5dcd19b23f4063c8cf, http://www.wikidata.org/.well-known/genid/72554205347747dc6eb3c554ea24acc1, Hermitage Museum, Metropolitan Museum of Art, Tate Modern, Museum of Modern Art, National Museum of Modern Art, Tate, Albertina, National Gallery, National Gallery of Art, Musée des beaux-arts de Liège, Bavarian State Painting Collections, Stedelijk Museum Amsterdam, Detroit Institute of Arts, ""degenerate art"" collection, Pushkin Museum of Fine Arts, Museo Nacional Centro de Arte Reina Sofía, Hamburger Kunsthalle, Würth Collection, Cleveland Museum of Art, Museu Picasso, Van Abbemuseum, Kunstmuseum Bern"
Q5603,Andy Warhol,"pencil, cloth, cotton, screen print, paper, canvas, casein paint, aerosol paint, milk fibre, acrylic paint, wove paper, Letraset, polymer, panel, ink, wood, sandpaper, linen, screen printing, printing ink, tantalum nitride, paintbrush, cardboard, wallpaper, silver paint, oil paint, gelatin silver print, India ink, watercolor paint, ceramic","modern art, pop art","Art Institute of Chicago, National Gallery of Art, Bavarian State Painting Collections, Photographs in the National Gallery of Art, Sculptures in the National Gallery of Art, Midwest Museum of American Art, http://www.wikidata.org/.well-known/genid/506a014c78d5b488ea2d086004f06d21, Museum of Modern Art, Tate, Museum Boijmans Van Beuningen, Stedelijk Museum Amsterdam, National Portrait Gallery, Museo Nacional Centro de Arte Reina Sofía, Museum of Fine Arts, Houston, National Galleries Scotland, Carnegie Museum of Art, Solomon R. Guggenheim Museum, Dia Art Foundation, National Gallery of Victoria, Stedelijk Museum voor Actuele Kunst, Los Angeles County Museum of Art, Society for the Museum of Contemporary Art, http://www.wikidata.org/.well-known/genid/815f19dff51e0ebd50622b98dff143a7, http://www.wikidata.org/.well-known/genid/0c8dc025eaee0707b697bd3002499b79, http://www.wikidata.org/.well-known/genid/1f3b723bb3eb6be6e9eae0a11634dd37, http://www.wikidata.org/.well-known/genid/4f3517bab26c3accb22faea8c27902ca, Mercedes-Benz, Metropolitan Museum of Art, Andy Warhol Museum, Birmingham Museum of Art, National Museum of Modern Art, Museum of Contemporary Art, Chicago, Gagosian Gallery, Museum of Fine Arts Boston, Whitney Museum of American Art, Tehran Museum of Contemporary Art, Buffalo AKG Art Museum, Smithsonian American Art Museum, Mu.ZEE - Kunstmuseum aan Zee, Museum Ludwig, Corcoran Gallery of Art, Wallraf–Richartz Museum, San Francisco Museum of Modern Art, National Gallery of Australia, National Museum of Art, Architecture and Design, Andy Warhol Museum of Modern Art, Cleveland Museum of Art, Yale University Art Gallery, Media Arts in the National Gallery of Art, Cincinnati Art Museum"
