id,name,occupation,imdb_link,platform_affiliation,major_productions
Q53680,Jeff Daniels,screenwriter,https://www.imdb.com/name/nm0001099/,,"Adam (2023), Adam (2022), Adam (2020), The Comey Rule (2020), The Catcher Was a Spy (2018), Steve Jobs (2016), The Divergent Series: Allegiant (2016), The Long Way Home: Making the Martian (2016), The Martian (2015), The Martian (2015), The Martian (2015), The Martian (2015), Steve Jobs (2015), Steve Jobs (2015), Dumb and Dumber To (2014), Dumb and Dumber To (2014), Dumb and Dumber To (2014), Dumb and Dumber To (2014), Looper (2012), Looper (2012)"
Q52488,Ales Adamovich,screenwriter,https://www.imdb.com/name/nm0010696/,,"Reading Book of Blockade (2009), Franz + Polina (2007), Franz + Polina (2006), Franz + Polina (2006), Come and See (1987), Come and See (1985), Come and See (1985), Sons Are Leaving for Battle (1969), War Under the Roofs (1967)"
Q55163,Robert Altman,screenwriter,https://www.imdb.com/name/nm0000265/,,"Altman (2015), A Prairie Home Companion (2007), A Prairie Home Companion (2007), A Prairie Home Companion (2007), A Prairie Home Companion (2007), A Prairie Home Companion (2006), A Prairie Home Companion (2006), A Prairie Home Companion (2006), A Prairie Home Companion (2006), Words in Progress (2004), Tanner on Tanner (2004), Z Channel: A Magnificent Obsession (2004), The Company (2003), The Company (2003), The Company (2003), The Company (2003), A Decade Under the Influence (2003), Gosford Park (2002), Gosford Park (2002), Gosford Park (2002)"
Q55211,Mohsen Makhmalbaf,screenwriter,https://www.imdb.com/name/nm0538532/,,"The President (2016), The President (2016), The President (2016), The President (2016), The President (2014), The President (2014), The President (2014), The President (2014), The Gardener (2012), The Gardener (2012), The Gardener (2012), The Gardener (2012), The Gardener (2012), The Gardener (2012), The Gardener (2012), The Gardener (2012), The Gardener (2012), The Story of Film: An Odyssey (2011), Two-Legged Horse (2008), Scream of the Ants (2006)"
Q55207,Nikita Mikhalkov,screenwriter,https://www.imdb.com/name/nm0586482/,,"Bremenskiye muzykanty (2024), Chocolate Revolver (2021), Chocolate Revolver (2021), Chocolate Revolver (2021), Chocolate Revolver (2021), Chocolate Revolver (2021), Chocolate Revolver (2021), Chocolate Revolver (2021), Chocolate Revolver (2021), Chocolate Revolver (2021), Champion of the World (2021), Couple from the Future (2021), The Silver Skates (film) (2020), Fire (2020), T-34 (2019), Going Vertical (2018), Coach (2018), Coach (2018), Putin's Witnesses (2018), Going Vertical (2017)"
Q53046,Carlo Verdone,screenwriter,https://www.imdb.com/name/nm0893872/,,"Si vive una volta sola (2021), Blessed Madness (2018), The Big Score (2016), The Big Score (2016), The Big Score (2016), The Big Score (2016), The Big Score (2016), The Big Score (2016), The Big Score (2016), The Big Score (2016), The Big Score (2016), Sotto una buona stella (2014), Sotto una buona stella (2014), Sotto una buona stella (2014), Sotto una buona stella (2014), Sotto una buona stella (2014), Sotto una buona stella (2014), Sotto una buona stella (2014), Sotto una buona stella (2014), Sotto una buona stella (2014)"
Q53031,Gillo Pontecorvo,screenwriter,https://www.imdb.com/name/nm0690597/,,"Q27590241 (2009), Firenze, il nostro domani (2003), Another World Is Possible (2001), The Stupids (1996), 12 registi per 12 città (1989), Farewell to Enrico Berlinguer (1984), Ogro (1979), Ogro (1979), Ogro (1979), Ogro (1979), Burn! (1969), The Battle of Algiers (1967), The Battle of Algiers (1967), The Battle of Algiers (1967), The Battle of Algiers (1967), The Battle of Algiers (1966), The Battle of Algiers (1966), The Battle of Algiers (1966), The Battle of Algiers (1966), The Battle of Algiers (1966)"
Q53040,Franco Zeffirelli,screenwriter,https://www.imdb.com/name/nm0001874/,,"The Mystery of Dante (2014), Electric Boogaloo: The Wild, Untold Story of Cannon Films (2014), Their Italy (2012), Q3882037 (2009), Q3882037 (2009), Q3882037 (2009), Q3882037 (2009), Callas Forever (2002), Callas Forever (2002), Callas Forever (2002), Callas Forever (2002), Tea with Mussolini (2000), Tea with Mussolini (2000), Tea with Mussolini (2000), Tea with Mussolini (2000), Tea with Mussolini (1999), Tea with Mussolini (1999), Tea with Mussolini (1999), Tea with Mussolini (1999), A Magic Friend: The Maestro Nino Rota (1999)"
Q53013,Mario Camerini,screenwriter,https://www.imdb.com/name/nm0131460/,,"Don Camillo e i giovani d'oggi (1972), Don Camillo e i giovani d'oggi (1972), Don Camillo e i giovani d'oggi (1972), Don Camillo e i giovani d'oggi (1972), Io non vedo, tu non parli, lui non sente (1971), Io non vedo, tu non parli, lui non sente (1971), Io non vedo, tu non parli, lui non sente (1971), Io non vedo, tu non parli, lui non sente (1971), The Almost Perfect Crime (1966), The Almost Perfect Crime (1966), The Almost Perfect Crime (1966), The Almost Perfect Crime (1966), Kali Yug: Goddess of Vengeance (1963), Kali Yug: Goddess of Vengeance (1963), Kali Yug: Goddess of Vengeance (1963), Kali Yug: Goddess of Vengeance (1963), Il mistero del tempio indiano (1963), The Italian Brigands (1961), Crimen (1960), Run with the Devil (1960)"
Q53026,Mario Monicelli,screenwriter,https://www.imdb.com/name/nm0598102/,,"Q3927807 (2010), Q3819822 (2010), L'ultimo gattopardo: Ritratto di Goffredo Lombardo (2010), Q3823418 (2010), Q3823418 (2010), Q3823418 (2010), Q3823418 (2010), Q27590241 (2009), Q4011188 (2008), SoloMetro (2007), Marcello: A Sweet Life (2006), Q635204 (2006), The Roses of the Desert (2006), The Roses of the Desert (2006), The Roses of the Desert (2006), The Roses of the Desert (2006), Under the Tuscan Sun (2004), Come inguaiammo il cinema italiano - La vera storia di Franco e Ciccio (2004), Under the Tuscan Sun (2003), Firenze, il nostro domani (2003)"
