id,name,agency,fashion_weeks,campaigns
Q9019361,Kento Ono,,,
Q9020836,Laura Huarcayo,,,
Q9020852,Laura de la Calle,,,
Q9021248,Leighanne Wallace,,,
Q9023401,Yuri Pleskun,,,
Q9025649,Luz Cipriota,,,
Q9026977,Maho Tomita,,,
Q9027133,Malena Costa Sjögren,,,
Q9028403,Mar Flores,,,
Q9028513,Yuka Rikuna,,,
Q9028923,Mariana Velho,,,
Q9029070,Marina Baker,,,
Q9029675,Martha Isabel Bolaños,,,
Q9030178,María Teresa Guerrero,,,
Q9030626,Olga Sherer,,,
Q9030679,Nastasia Scott,,,
Q9031341,Melina Pitra,,,
Q9031355,Melissa Jiménez,,,
Q9032647,Miguel Augusto Rodríguez,,,
Q9034695,Anthony Sandstrom,,,
Q9034911,Montserrat Oliver,,,
Q9036229,Sheila,,,
Q9038999,A.J. Stewart,,,
Q9049948,Reina Triendl,,,
Q9049955,Nicole Huber,,,
Q9049956,Nicole Santamaria,,,
Q9052143,Olivia Collins,,,
Q9055771,Zhang Zixuan,,,
Q9057470,Angel Wang,,,
Q9057974,Pelusa Vera,,,
Q9059260,Q9059260,,,
Q9062158,Wu Kang-ren,,,
Q9062929,Carlo Ng Ka Lok,,,
Q9066870,Raúl Magaña,,,
Q9068966,Ricardo Chávez,,,
Q9069163,Rie Mashiko,,,
Q9071306,Melanie Iglesias,,,
Q9072611,Sahrul Gunawan,,,
Q9075375,Sebastián Vega,,,
Q9075969,Senait Ashenafi,,,
Q9076902,Rurika Yokoyama,,,
Q9077361,Silvana Altahona,,,
Q9077724,Andrew Yuen Man-kit,,,
Q9078868,Maomi Yūki,,,
Q9079846,Stephanie Cardone,,,
Q9080706,Susana Diazayas,,,
Q9081772,Tania Vázquez,,,
Q9085142,Daga Ziober,,,
Q9086607,Thalita Latief,,,
Q9086698,Ili Cheng,,,
Q16752058,Debbie van der Putten,,,
Q16752755,Bea Toivonen,,,
Q16753299,Rati Tsiteladze,,,
Q16762810,Nabila Tapia,,,
Q16766758,Jo Kwang-min,,,
Q16767600,Heo Sol-ji,,,
Q16767748,Seo Yu-na,,,
Q16767898,Im Chan-mi,,,
Q16767951,Hani,,,
Q16767990,Seo Hye-lin,,,
Q16769720,Charlie Himmelstein,,,
Q16770002,Saeko Kaname,,,
Q16770295,Yukiko Kawabe,,,
Q16770428,Suzy Miller,,,
Q16801906,Rezarta Shkurta,,,
Q16825384,Dominic Adams,,,
Q16832038,Erica Van Briel,,,
Q16832073,Kristine Rose,,,
Q16832110,Stephanie Beatriz,,,
Q16832130,Taylour Paige,,,
Q16832207,Carlotta Montanari,,,
Q16832229,Celine Prins,,,
Q16832285,Samira Wiley,,,
Q16832290,Erin Wyatt,,,
Q16843706,Gigi Hadid,,,
Q16845739,Subin Limbu,,,
Q16846168,Masuma Rahman Nabila,,,
Q16847773,Praveen Anidil,,,
Q16848019,Sonali Raut,,,
Q16853378,Anukriti Gusain,,,
Q16854211,Panayiotis Simopoulos,,,
Q16854440,Gözde Zay,,,
Q16855304,Jamilla Obispo,,,
Q16857271,Stefanie Giesinger,,,
Q16859654,Madeleine de Boisguillaume,,,
Q16864016,Youssef Alimam,,,
Q16864844,Kristen Danyal,,,
Q16873029,Kim Genelle,,,
Q16874485,Donia Hamed,,,
Q16875886,Dorothea Barth Jorgensen,,,
Q16876051,Nicole Amy Madell,,,
Q16882222,Olalla Oliveros,,,
Q16886520,Natalie Westling,,,
Q16887606,Aditya Seal,,,
Q16887659,Doron Matalon,,,
Q16887713,Anaswara Kumar,,,
Q16889563,Silvia Busuioc,,,
Q16890316,Marie Augustine Worth,,,
Q16904750,Ice Chow,,,
Q16909455,Athena Lundberg,,,
Q9194014,Carol Chu,,,
Q9195997,Q9195997,,,
Q9201315,Daniel Erthal,,,
Q9203067,Debbie Deitering,,,
Q9203089,Debra Shaw,,,
Q9205419,Aki Lee,,,
Q9207523,Dimitris Anastasakis,,,
Q9207530,Dimitar Dimitrov,,,
Q9208501,Lee Su-hyeok,,,
Q9208698,Vivi Lee,,,
Q9210178,Dorota Gardias,,,
Q9248945,Dziun,,,
Q9252817,Eliska Sursova,,,
Q9253712,Emma Balfour,,,
Q9256762,Ewa Maria Morelle,,,
Q9256808,Ewa Pacuła,,,
Q9256880,Ewa Tylecka,,,
Q9256896,Ewa Witkowska,,,
Q9256986,Ewelina Barej,,,
Q9265281,Gail Elliott,,,
Q9274548,Goran Nikolic,,,
Q9276312,Greta Ludziejewska,,,
Q9285396,Halina Kunicka,,,
Q9287640,Mónica Santa María,,,
Q9290595,Q9290595,,,
Q9293309,Dayuan,,,
Q9294712,Huessein,,,
Q9295718,Corinne Hatch,,,
Q9297243,Victor Wagner,,,
Q9298018,Canny Leung,,,
Q9299826,Bárbara Paz,,,
