id,name,genre,record_label,chart_data,tour_data
Q82110,Steven Seagal,country music,,,
Q82222,Little Richard,rock and roll,Mercury Records,,
Q82222,Little Richard,rock music,Mercury Records,,
Q82222,Little Richard,rhythm and blues,Mercury Records,,
Q82222,Little Richard,soul,Mercury Records,,
Q82222,Little Richard,funk,Mercury Records,,
Q82222,Little Richard,gospel music,Mercury Records,,
Q82222,Little Richard,rock and roll,Apple Records,,
Q82222,Little Richard,rock music,Apple Records,,
Q82222,Little Richard,rhythm and blues,Apple Records,,
Q82222,Little Richard,soul,Apple Records,,
Q82222,Little Richard,funk,Apple Records,,
Q82222,Little Richard,gospel music,Apple Records,,
Q82222,Little Richard,rock and roll,Specialty,,
Q82222,Little Richard,rock music,Specialty,,
Q82222,Little Richard,rhythm and blues,Specialty,,
Q82222,Little Richard,soul,Specialty,,
Q82222,Little Richard,funk,Specialty,,
Q82222,Little Richard,gospel music,Specialty,,
Q82222,Little Richard,rock and roll,Reprise Records,,
Q82222,Little Richard,rock music,Reprise Records,,
Q82222,Little Richard,rhythm and blues,Reprise Records,,
Q82222,Little Richard,soul,Reprise Records,,
Q82222,Little Richard,funk,Reprise Records,,
Q82222,Little Richard,gospel music,Reprise Records,,
Q82222,Little Richard,rock and roll,Vee-Jay Records,,
Q82222,Little Richard,rock music,Vee-Jay Records,,
Q82222,Little Richard,rhythm and blues,Vee-Jay Records,,
Q82222,Little Richard,soul,Vee-Jay Records,,
Q82222,Little Richard,funk,Vee-Jay Records,,
Q82222,Little Richard,gospel music,Vee-Jay Records,,
Q82222,Little Richard,rock and roll,Brunswick Records,,
Q82222,Little Richard,rock music,Brunswick Records,,
Q82222,Little Richard,rhythm and blues,Brunswick Records,,
Q82222,Little Richard,soul,Brunswick Records,,
Q82222,Little Richard,funk,Brunswick Records,,
Q82222,Little Richard,gospel music,Brunswick Records,,
Q82222,Little Richard,rock and roll,Manticore Records,,
Q82222,Little Richard,rock music,Manticore Records,,
Q82222,Little Richard,rhythm and blues,Manticore Records,,
Q82222,Little Richard,soul,Manticore Records,,
Q82222,Little Richard,funk,Manticore Records,,
Q82222,Little Richard,gospel music,Manticore Records,,
Q82222,Little Richard,rock and roll,RCA,,
Q82222,Little Richard,rock music,RCA,,
Q82222,Little Richard,rhythm and blues,RCA,,
Q82222,Little Richard,soul,RCA,,
Q82222,Little Richard,funk,RCA,,
Q82222,Little Richard,gospel music,RCA,,
Q82696,Eric Singleton,hip-hop,BMG Rights Management,,
Q82819,Hans Magnus Ryan,,,,
Q83326,Béla Bartók,opera,,,
Q83326,Béla Bartók,classical music,,,
Q84821,Carl Heissler,,,,
Q85168,Michael Schnitzler,,,,
Q85175,Bryan Konietzko,,,,
Q85197,Rainer Zepperitz,,,,
Q85221,Albert Dohmen,,,,
Q85306,Christian Anders,,,,
Q85624,Wenzel Fuchs,classical music,,,
Q85714,Walter Werzowa,,,,
Q85735,Hans Pizka,,,,
Q85789,Franz Mazura,,Deutsche Grammophon,,
Q85789,Franz Mazura,,Decca,,
Q85789,Franz Mazura,,Philips Records,,
Q85895,Rudolf Gamsjäger,,,,
Q85941,Kris Menace,nu-disco,,,
Q85958,Salomon Sulzer,,,,
Q86105,Howard Carpendale,rock music,,,
Q86105,Howard Carpendale,pop rock,,,
