id,name,party,position,position_details
Q28932,Matt Morgan,Republican Party,,
Q70898,Robert Scholl,All-German People's Party,mayor,"lord mayor (Unknown, 1945-06-09 to 1948-03-21), mayor (Unknown, 1917-01-01 to 1919-01-01), mayor (Unknown, 1919-01-01 to 1930-01-01)"
Q70898,Robert Scholl,All-German People's Party,lord mayor,"lord mayor (Unknown, 1945-06-09 to 1948-03-21), mayor (Unknown, 1917-01-01 to 1919-01-01), mayor (Unknown, 1919-01-01 to 1930-01-01)"
Q76237,Georg Friedrich Kolb,,mayor,"Member of the Customs Parliament (Unknown, ), Member of the Frankfurt Parliament (Unknown, ), mayor (Unknown, 1848-01-01 to 1949-06-21)"
Q76237,Georg Friedrich Kolb,,Member of the Customs Parliament,"Member of the Customs Parliament (Unknown, ), Member of the Frankfurt Parliament (Unknown, ), mayor (Unknown, 1848-01-01 to 1949-06-21)"
Q76237,Georg Friedrich Kolb,,Member of the Frankfurt Parliament,"Member of the Customs Parliament (Unknown, ), Member of the Frankfurt Parliament (Unknown, ), mayor (Unknown, 1848-01-01 to 1949-06-21)"
Q87503,Josef Georg Hörl,,mayor of Vienna,"mayor of Vienna (Unknown, 1773-02-16 to 1804-10-30)"
Q90541,Bruno Müller,Nazi Party,mayor,"mayor (Unknown, 1933-01-01 to 1934-01-01)"
Q94424,Jakob Reumann,Social Democratic Party of Austria,Member of the Landtag of Lower Austria,"Member of the Landtag of Lower Austria (Unknown, ), member of the Austrian federal council (Unknown, ), member of the Austrian federal council (Unknown, ), member of the Austrian federal council (Unknown, ), mayor of Vienna (Unknown, ), Member of Abgeordnetenhaus (Unknown, )"
Q94424,Jakob Reumann,Social Democratic Party of Austria,member of the Austrian federal council,"Member of the Landtag of Lower Austria (Unknown, ), member of the Austrian federal council (Unknown, ), member of the Austrian federal council (Unknown, ), member of the Austrian federal council (Unknown, ), mayor of Vienna (Unknown, ), Member of Abgeordnetenhaus (Unknown, )"
