id,name,follower_count,engagement_rate,platform_specialty_platforms,platform_specialty_fields
Q86975,Henri Jordan,,,,
Q86988,Richard Cassirer,,,,
Q86998,Mark Lidzbarski,,,,"Semitic, Mandaeism"
Q87000,Rudolf Bockelmann,,,,
Q87001,Franz Xaver von Krones,,,,history
Q87003,Rainer Burkard,,,,
Q87004,August Oncken,,,,
Q87012,Alexander Schenk Graf von Stauffenberg,,,,
Q87013,Johann Baptist Chiari,,,,
Q87020,Kamil Krofta,,,,"diplomacy, history"
Q87026,Anton von Jaksch,,,,"health care, internal medicine"
Q87027,Adolf Remane,,,,"Meiobenthos, zoology"
Q87031,Hans-Christof von Sponeck,,,,
Q87035,Friedrich Karl Georg Fedde,,,,"phytogeography, botany, biogeography"
Q87040,Rudolf Jung,,,,
Q87046,Carl Joseph Schröter,,,,botany
Q87055,Roderich Fick,,,,architecture
Q87057,Johann Karl Nestler,,,,"agriculture, animal breeding"
Q87061,Andreas Laun,,,,"theology, moral theology, pastoral care"
Q87071,Leopold Bauer,,,,
Q87073,Eduard Winter,,,,
Q87076,Adolf von Liebenberg,,,,
Q87079,Karl von Czyhlarz,,,,
Q87085,Robert Mayr-Harting,,,,
Q87089,Paul Bernd Spahn,,,,
Q87091,Elisabeth Schüssler Fiorenza,,,,
Q87092,Karin Knorr Cetina,,,,
Q87096,Hertha Töpper,,,,
Q87109,William Threlfall,,,,"topology, mathematics"
Q87111,Wolf Hilbertz,,,,
Q87117,Rainer Simon,,,,
Q87123,Conrad Bursian,,,,philology
Q87126,John M. Oesterreicher,,,,"ecumenical theology, theology, comparison of Judaism and Christianity, Catholicism"
Q87127,Ludwig Häusser,,,,
Q87131,Eugen Korschelt,,,,
Q87132,Gisbert Kapp,,,,
Q87146,Felix von Niemeyer,,,,
Q87147,Hans von Zwiedineck-Südenhorst,,,,history
Q87151,Engelbert Mühlbacher,,,,
Q87152,Friedrich Sigismund Leuckart,,,,"natural science, zoology, medicine"
Q87161,Joseph Ennemoser,,,,"hypnosis, philosophy, anthropology"
Q87162,Hermann Vöchting,,,,botany
Q87166,Hans Lipps,,,,
Q87170,Carl Gussenbauer,,,,
Q87174,Simon Louis du Ry,,,,
Q87175,Wilhelm Koppers,,,,
Q87178,Friedrich Neelsen,,,,
Q87180,Alphons Huber,,,,
Q87181,Friedrich Bleek,,,,"biblical studies, Protestant theology"
Q87193,Theodor Kolde,,,,
Q87195,Wilhelm Brückner-Rüggeberg,,,,
Q87201,Wilhelm Olivier Leube,,,,"medicine, internal medicine"
Q87202,Moritz Thausing,,,,
Q87204,Eduard Castle,,,,
Q87206,Leopold Freund,,,,"radiology, medicine"
Q87208,Ernst Décsey,,,,"musicology, music criticism"
Q87211,Wilhelm Roser,,,,
Q87212,Michał Rostworowski,,,,"law, political science"
Q87213,Otto Schrader,,,,
Q87224,Josef Haslinger,,,,
Q87233,Max Clarenbach,,,,
Q87234,Stefan Sonvilla-Weiss,,,,
Q87240,Wolfgang Gratzer,,,,"music, musicology"
Q87241,Alfred Dührssen,,,,"obstetrics, gynaecology, medicine"
Q87243,Wolfgang Rautenberg,,,,
Q87244,Hermann von Schrötter,,,,
Q87251,Raphael M. Bonelli,,,,"psychiatry, psychotherapy, medicine, neurology"
Q87262,Theodor Hirsch,,,,history
Q87268,Wolfgang Mattheuer,,,,art of painting
Q87273,Oskar Ewald,,,,
Q87298,Ernest Borneman,,,,
Q87302,Konrad Meyer-Hetling,,,,"agriculture, World War II, Nazism"
Q87307,Robert Gomer,,,,physical chemistry
Q87309,Richard von Schubert-Soldern,,,,
Q87315,Helmut Satzinger,,,,
Q87316,Aino Henssen,,,,
Q87321,Karl Mayreder,,,,
Q87337,Peter Skalicky,,,,
Q87353,Gudrun Kugler,,,,
Q87357,Gerhard Chroust,,,,
Q87359,Ladislaus von Rabcewicz,,,,
Q87378,Marcel Prawy,,,,
Q87383,Hannspeter Winter,,,,
Q87396,Lore Lorentz,,,,
Q87401,Fritz Novotny,,,,
Q87402,Hans-Peter Dürr,,,,
Q87408,Friedrich Eduard Schulz,,,,
Q87409,Rudolf Inzinger,,,,
Q87411,Wolfgang Dietrich,,,,"law, political science, historiography"
Q87412,Michael Naumann,,,,
Q87415,Julius Tandler,,,,"health service, social policy, anatomy"
Q87418,Johannes Olearius,,,,
Q87424,Johann Jakob Rambach,,,,"theology, poetry, administration and management of the church, educational system"
Q87427,Gerald Teschl,,,,"mathematical biology, partial differential equation, mathematical physics"
Q87430,Franz Josef Radermacher,,,,
Q87431,Erich Neuwirth,,,,
Q87434,Hans Heinrich Eggebrecht,,,,
Q87435,Johann Sahulka,,,,
Q87444,Wilhelm Gass,,,,"theology, philosophy, Protestant theology"
Q87447,Adolf Rebner,,,,
Q87449,Antal Festetics,,,,
Q87451,Martin A. Nowak,,,,
Q87464,Aglaja Orgeni,,,,
Q87467,Johannes W. Pichler,,,,"law, European Union law"
Q87471,Heinrich Häser,,,,
Q87472,Josef Teichmann,,,,"statistics, functional analysis, differential geometry, stochastic process, mathematical finance, econometrics, stochastic analysis, applied mathematics, numerical analysis, machine learning, Lie group, probability theory"
Q87478,Kurt Rudolf Fischer,,,,
Q87484,Klaus Kubinger,,,,
Q87488,Friedrich Hopfner,,,,
Q87489,Hans Scherenberg,,,,
Q87492,Arnold Durig,,,,
Q87499,Otto Haupt,,,,"mathematics, geometry"
Q87502,Rudolf Ladenburg,,,,
Q87506,Carlos Kloppenburg,,,,"theology, dogmatic theology"
Q87507,Johann von Dumreicher,,,,
Q87508,Carl von Bach,,,,"machine, mechanical engineering"
Q87509,Albert Anton von Muchar,,,,"history, philosophy, archival science, library science, philology, classical philology"
Q87511,Armin von Tschermak-Seysenegg,,,,
Q87512,August Föppl,,,,"vibration, mechanics"
Q87515,Edmund von Neusser,,,,
Q87520,Walter Tollmien,,,,
Q87522,Rudolf Chrobak,,,,gynaecology
Q87523,Carl Johannes Thomae,,,,function theory
Q87524,Marietta Blau,,,,
Q87530,Franz Chvostek,,,,
Q87543,Josef Schintlmeister,,,,
Q87550,Leon Lichtenstein,,,,mathematics
Q87554,Ernst G. Straus,,,,"group theory, combinatorics, linear algebra, geometry"
Q87563,Josef Krawina,,,,
Q87566,Detlef Franke,,,,
Q87567,Anton Rubinstein,,,,"conducting, music, piano, music education, musicology"
Q87572,Peter Salcher,,,,physics
Q87578,Wolfgang Hahn,,,,
Q87580,Robert Kienböck,,,,
Q87588,Max Freiherr von Waldberg,,,,
Q87599,Joseph Barth,,,,"surgery, anatomy, ophthalmology"
Q87603,Hans Bobek,,,,
Q87607,Wolfgang Sauseng,,,,
Q87616,Peter Balazs,,,,mathematics
Q87619,Wilhelm Brambach,,,,
Q87620,Luca Pacioli,,,,"theology, mathematics, Franciscan spirituality"
Q87624,Ulrich Schindel,,,,
Q87626,Wilhelm Sihler,,,,
Q87627,Norbert Leser,,,,
Q87636,Simon Grynaeus,,,,
Q87644,Gustav Droysen,,,,
Q87645,Alfred Gürtler,,,,
Q87646,Salomo Glassius,,,,
Q87658,Heinz-Günther Nesselrath,,,,classical philology
Q87662,Victorinus Strigel,,,,
Q87672,Otto Keller,,,,
Q87687,Hermann Ignaz Bidermann,,,,
Q87689,Anton Horner,,,,
Q87698,Friedrich Leitner,,,,"economics, enterprise economy"
Q87707,Johannes Knoblauch,,,,"coin, curve, differential geometry, algebra, medallion, surface, group theory, mathematics, function, numismatics"
Q87710,August Sauer,,,,"German-language literature, literature, history of music, history"
Q87712,Gottfried von Freiberg,,,,"music, music education"
Q87721,Reinhard Rieger,,,,zoology
