id,name,sport_type,teams,league,olympic_data
Q330959,Béla Rajki,swimming,,,
Q331332,Vítězslav Lavička,association football,AC Sparta Prague,,2017 UEFA European Under-21 Championship
Q331332,Vítězslav Lavička,association football,FC Viktoria Plzeň,,2017 UEFA European Under-21 Championship
Q331332,Vítězslav Lavička,association football,FC Hradec Králové,,2017 UEFA European Under-21 Championship
Q331332,Vítězslav Lavička,association football,Bohemians 1905,,2017 UEFA European Under-21 Championship
Q331332,Vítězslav Lavička,association football,FK Hvězda Cheb,,2017 UEFA European Under-21 Championship
Q331332,Vítězslav Lavička,association football,MFK Chrudim,,2017 UEFA European Under-21 Championship
Q332054,Jan Velkoborský,association football,1. FC Bad Kötzting,2. Bundesliga,
Q332054,Jan Velkoborský,association football,Rot Weiss Ahlen,2. Bundesliga,
Q332054,Jan Velkoborský,association football,FC Viktoria Plzeň,2. Bundesliga,
Q332054,Jan Velkoborský,association football,FC Baník Ostrava,2. Bundesliga,
Q332054,Jan Velkoborský,association football,Czechia men's national football team,2. Bundesliga,
Q332054,Jan Velkoborský,association football,FK Viktoria Žižkov,2. Bundesliga,
Q332054,Jan Velkoborský,association football,FK Chmel Blšany,2. Bundesliga,
Q332054,Jan Velkoborský,association football,SV Elversberg,2. Bundesliga,
Q332054,Jan Velkoborský,association football,Czech Republic national under-21 football team,2. Bundesliga,
Q332054,Jan Velkoborský,association football,FC Slavia Karlovy Vary,2. Bundesliga,
Q332054,Jan Velkoborský,association football,FK Tachov,2. Bundesliga,
Q333400,Grantley Berkeley,,,,
Q334334,Daniel Kolář,association football,AC Sparta Prague,,
Q334334,Daniel Kolář,association football,FC Viktoria Plzeň,,
Q334334,Daniel Kolář,association football,Gaziantepspor,,
Q334334,Daniel Kolář,association football,Czechia men's national football team,,
Q334334,Daniel Kolář,association football,FK Chmel Blšany,,
Q334334,Daniel Kolář,association football,1. FC Slovácko,,
Q334334,Daniel Kolář,association football,Czech Republic national under-21 football team,,
Q334334,Daniel Kolář,association football,Czech Republic national under-19 football team,,
Q334393,David Limberský,association football,Modena F.C.,,
Q334393,David Limberský,association football,Tottenham Hotspur F.C.,,
Q334393,David Limberský,association football,AC Sparta Prague,,
Q334393,David Limberský,association football,FC Viktoria Plzeň,,
Q334393,David Limberský,association football,Czechia men's national football team,,
Q334393,David Limberský,association football,TJ Jiskra Domažlice,,
Q334393,David Limberský,association football,Czech Republic national under-21 football team,,
Q334393,David Limberský,association football,Czech Republic national under-20 football team,,
Q342834,Jeb Corliss,,,,
Q347184,Roman Kreuziger,road bicycle racing,Tinkoff,,
Q347184,Roman Kreuziger,cyclo-cross,Tinkoff,,
Q347184,Roman Kreuziger,road bicycle racing,Team Jayco AlUla,,
Q347184,Roman Kreuziger,cyclo-cross,Team Jayco AlUla,,
Q347184,Roman Kreuziger,road bicycle racing,XDS Astana Team,,
Q347184,Roman Kreuziger,cyclo-cross,XDS Astana Team,,
Q347184,Roman Kreuziger,road bicycle racing,Cannondale Pro Cycling Team,,
Q347184,Roman Kreuziger,cyclo-cross,Cannondale Pro Cycling Team,,
Q347184,Roman Kreuziger,road bicycle racing,Qhubeka NextHash,,
Q347184,Roman Kreuziger,cyclo-cross,Qhubeka NextHash,,
Q347184,Roman Kreuziger,road bicycle racing,Gazprom–RusVelo,,
Q347184,Roman Kreuziger,cyclo-cross,Gazprom–RusVelo,,
Q352017,Josef Bican,association football,SK Rapid Wien,,
Q352017,Josef Bican,association football,Austria men's national football team,,
Q352017,Josef Bican,association football,Czechoslovakia men's national association football team,,
Q352017,Josef Bican,association football,SK Slavia Prague,,
Q352017,Josef Bican,association football,Czechia men's national football team,,
Q352017,Josef Bican,association football,FC Hradec Králové,,
Q352017,Josef Bican,association football,Admira Wacker,,
Q352017,Josef Bican,association football,MFK Vítkovice,,
Q352733,Randy Couture,mixed martial arts,Team Quest,,
Q355902,Manfred Hoeberl,,,,
Q356271,Georges St-Pierre,karate,Jackson Wink MMA Academy,,
Q356271,Georges St-Pierre,mixed martial arts,Jackson Wink MMA Academy,,
Q356271,Georges St-Pierre,Muay Thai,Jackson Wink MMA Academy,,
Q361207,Jaroslav Šilhavý,association football,FK Drnovice,,
Q361207,Jaroslav Šilhavý,association football,Czechoslovakia men's national association football team,,
Q361207,Jaroslav Šilhavý,association football,SK Slavia Prague,,
Q361207,Jaroslav Šilhavý,association football,FC Viktoria Plzeň,,
Q361207,Jaroslav Šilhavý,association football,FK Viktoria Žižkov,,
Q361207,Jaroslav Šilhavý,association football,Czechoslovakia national under-21 football team,,
Q361207,Jaroslav Šilhavý,association football,FK Hvězda Cheb,,
Q361289,Adolf Dorner,,,,
Q361587,Kevin Peter Hall,basketball,George Washington Revolutionaries men's basketball,NCAA Division I men's basketball,
Q371518,Tobias Ide,powerlifting,,,
Q371689,Ivan Nanut,,,,
Q373261,Nigel Murray,boccia,,,
Q373293,Jahon Qurbonov,boxing,,,
Q373699,Adrian Nicholas,,,,
Q375421,Lenka Ledvinová,athletics,,,
Q380050,Chuck Liddell,karate,The Pit,,
Q380050,Chuck Liddell,mixed martial arts,The Pit,,
Q380115,Michal Bílek,association football,Real Betis Balompié,,
Q380115,Michal Bílek,association football,Czechoslovakia men's national association football team,,
Q380115,Michal Bílek,association football,AC Sparta Prague,,
Q380115,Michal Bílek,association football,Czechia men's national football team,,
Q380115,Michal Bílek,association football,FK Viktoria Žižkov,,
Q380115,Michal Bílek,association football,FK Teplice,,
